letter	freq	scrabble
a	8.2	1
b	1.5	3
c	2.7	3
d	4.4	2
e	13	1
f	2.2	4
g	2	2
h	6.2	4
i	6.9	1
j	0.15	8
k	0.78	5
l	4.1	1
m	2.5	3
n	6.7	1
o	7.8	1
p	1.9	3
q	0.096	10
r	5.9	1
s	6.2	1
t	9.6	1
u	2.7	1
v	0.97	4
w	2.4	4
x	0.15	8
y	2	4
z	0.078	10
